id,text,split
1463224556814958595,bat dami kong nakikita sa tiktok na naglilive para magsulat ng mga pangalan di ba sila nangangalay hahahahhahaha,"[0.0, 0.7222222222222222, 0.2777777777777778]"
1463223626317004801,di ba they tried it before sineserye ata yun at komiks pero di gaanobg kibagat kasi 2 months na yung pinakamatagal,"[0.2857142857142857, 0.42857142857142855, 0.23809523809523808]"
1463223462466441219,hey quick question what,"[1.0, 0.0, 0.0]"
1463223386012717061,bakit nandito pa ang mga ungas na rappler di ba kinansela na ng sec ang lisensya nyo dahil mga fakenewsmaker kayo layas na kayo hindi namin kailangan ang media na bias kaya nga kulong mga kasamahan ninyo dahil sa fakenews na balita ninyo layas pweee,"[0.022222222222222223, 0.7555555555555555, 0.2222222222222222]"
1463223004863746051,sino ba ang nahnakaw kina marcos ang aquino ang totoong nagnakaw sa kanila sila ang nagpasasa sa hindi kanila wag nga kayo tanga manang mana kayo sa ina ninyo sayad sa lupa ang utak ipinagmamalaki ninyo ang talino di ba,"[0.025, 0.8, 0.175]"
1463222735451000834,yung special request dinalawa ngayong linggo nakakaloka di pa pinagsabay di ba talaga makakapagwait yan ng weekend,"[0.17647058823529413, 0.47058823529411764, 0.29411764705882354]"
1463222606996201478,y all r lucky i don t have a capture card for my switch y all do not wanna watch me play xenoblade i promise,"[0.8, 0.0, 0.2]"
1463222507641585671,di ba ngaaaa mainis pa tayo lalo hihi,"[0.0, 0.625, 0.375]"
1463222354406875137,magdala ka ng escort yaman ka di ba dagdagan mo na din ng ambulansya,"[0.07142857142857142, 0.7142857142857143, 0.21428571428571427]"
1463222298412937216,good morning to addam from xenoblade chronicles ii torna the golden country expansion dlc,"[0.7142857142857143, 0.0, 0.2857142857142857]"
1463221980333674497,may mga panahon talaga na manlalamig ka pero di naman sapat na dahilan iyon para iwan ang taong mahal mo di ba kahit naman na lumalig ang panahon mananatili ka pa rin kasi mahal mo at importante siya sayo,"[0.0, 0.7435897435897436, 0.23076923076923078]"
1463220968743399424,tapos na kase sana yung issue pero inuungkat pa rin ng inuungkat ano ba mga adult hms di ba kayo makagets na may genuine friendship talaga bet a boy and a girl plus friends talaga sila before pa mag pbb mga punyeta kayo,"[0.27906976744186046, 0.37209302325581395, 0.32558139534883723]"
1463220826505760769,nababaliw na naman ako hahahaha normal naman to eh hahahah di ba,"[0.16666666666666666, 0.5, 0.3333333333333333]"
1463220493037842433,listen to her lmfao what the hell do you mean,"[0.8, 0.0, 0.2]"
1463220414298001408,lu telaaat kmrn gw ud beli di ba wkwkwkw,"[0.0, 0.2222222222222222, 0.7777777777777778]"
1463220262737006607,will never for the life of me understand how the lions and cowboys monopolized that entire audience and no one in the league really seems to care,"[0.9629629629629629, 0.0, 0.037037037037037035]"
1463219998415998979,may mga tao na hindi kayo maintindihan pero mas maraming tao ang naiintindihan kayo may mga tao talagang mapang husga naawa ako sa inyo sa totoo lang di ba pwedeng maging magkaibigan ang lalaki at babae,"[0.0, 0.7777777777777778, 0.2222222222222222]"
1463219913791664128,into the i land nanaman haha di ba kayo nagsasawa cause same i miss hanbin yawa,"[0.4375, 0.25, 0.3125]"
1463219451252207618,gago bobo ba ako yes or yes di ba tsk tsk,"[0.2727272727272727, 0.5454545454545454, 0.18181818181818182]"
1463219406322896896,di ba masarap ulam jan lods,"[0.0, 0.6666666666666666, 0.3333333333333333]"
1463219378103537664,di ba hahaha ekis talaga,"[0.0, 0.8, 0.2]"
1463219018165219330,depende sa kanya kasi hindi niya sinubmit fearless di ba haha,"[0.09090909090909091, 0.7272727272727273, 0.18181818181818182]"
1463218449308524544,oh di ba yung picture ni taylor galing pa ng red era ganon talaga siya ka walang pake sa evermore char,"[0.2857142857142857, 0.5238095238095238, 0.19047619047619047]"
1463217238740127745,di ba,"[0.0, 1.0, 0.0]"
1463217197879226369,inaupdate lang kita beh baka kasi sa susunod alam mo na hindi pa rin ako player pero at least updated ka beh di ba say uwu nga kung agree ka,"[0.16666666666666666, 0.6333333333333333, 0.2]"
1463216813123072001,di ba pangit ka bonding,"[0.2, 0.8, 0.0]"
1463216003253366786,kasi if it s not legit the mere mention of st luke s as the testing center st luke s could have reacted right away di ba but so far wala namang ganoon desperada lang ba talaga sila na mapatalsik si bbm,"[0.5714285714285714, 0.2619047619047619, 0.16666666666666666]"
1463215830712270857,di ba nag open up si anji ky kyle unlike nung una na sobrang dala ng bugso ng damdamin at sa ayaw nya may masabi si tj,"[0.14814814814814814, 0.48148148148148145, 0.37037037037037035]"
1463215414154989571,oo nga eh not sure if di ba macocount talaga basta dinelete ko kasi badtrip ako,"[0.25, 0.5625, 0.1875]"
1463214900570853379,puro coffee date yaya ng mga to amputa siguro masyadong oa pagka manifest ko ng starbucks planner ah di ba pwedeng gcash date na lang,"[0.28, 0.48, 0.24]"
1463214783109681157,pero naaawa tlga ako sa kyji eh di ba ang vulnerable p nmn nila kasi ang babata pa just let them be nlang kasi gano n sila as friends bakit nkikisawsaw pa ang mga nkakatanda kung if ever may hidden agenda mn yang c tj pinapairal nya strategy nya pero maawa nmn sna sya,"[0.3148148148148148, 0.3888888888888889, 0.2962962962962963]"
1463214664372813827,di ba sila nominated teka di ako masyado updated di ako masyado nag iiscroll madalas,"[0.2, 0.6, 0.06666666666666667]"
1463214225573441536,beli di ba mana klo boleh tau,"[0.14285714285714285, 0.5714285714285714, 0.2857142857142857]"
1463214159156289539,non athlete here pero to these organization s di ba kayo nababahala na how many sportsmen hace changed their citizenship because of our system peraan na lang hindi ba iko consider how much the athletes spent their pockets while you re aiding them as small as grain of rice,"[0.7346938775510204, 0.20408163265306123, 0.061224489795918366]"
1463214132258213888,seeking validation to these group of people as if they represent the whole music industry tapos you ll brag it pag nakapasok ka and criticize them pag hindi ang labo di ba kung di sila credible magbigay ng opinyon dapat damay lahat nagsasayang lang kayo energy,"[0.5217391304347826, 0.41304347826086957, 0.043478260869565216]"
1463214121860538368,lintek na sub to di ba to titigil kakaload sa google classroom kayo lang sub ko,"[0.375, 0.4375, 0.1875]"
1463212541887143943,haphy ending naman to di ba kasi kung hindi ipilit natin pls,"[0.16666666666666666, 0.6666666666666666, 0.16666666666666666]"
1463212250131353604,baka naman si jayz and drake kumota na din di ba hahahaha every year ung dalawang un hahahahahahahahaha,"[0.2222222222222222, 0.3333333333333333, 0.4444444444444444]"
1463212091821551616,kaya nga di ba ang tanga niyo lang,"[0.0, 0.875, 0.125]"
1463211885474435077,huhu bakit hindi di ba bagay ttt,"[0.0, 0.7142857142857143, 0.2857142857142857]"
1463211576333275141,di ba ito yung muntik makulong kasi nag plagiarized ng song sa paramore and taylor lmaoooo,"[0.25, 0.5625, 0.1875]"
1463211331637571587,user talaga kayo di ba kayo aangat pag wla boys namin,"[0.18181818181818182, 0.45454545454545453, 0.36363636363636365]"
1463210810558144516,di ba beh nanalo na yung folklore last year ng aoty,"[0.2727272727272727, 0.45454545454545453, 0.2727272727272727]"
1463210336484352001,o di ba say tenkyu val,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
1463210087099502592,parang may lamay sa grammy eh noh antamlay magsalita di ba kayo naka kaen,"[0.07142857142857142, 0.5714285714285714, 0.35714285714285715]"
1463209954093924353,o di ba hindi lang ako ang nakapansin,"[0.0, 0.75, 0.25]"
1463209493752283138,ako nga yung kuripot di ba hahaha,"[0.0, 0.8571428571428571, 0.14285714285714285]"
1463209246569291777,yep best pop duo pero di ba nagsubmit sila for soty aoty saka yung iba pa for other categories pero waleyyyyy leche plan,"[0.30434782608695654, 0.34782608695652173, 0.34782608695652173]"
1463208979832578057,teka mare natutuwa ako pag nanalo ba album mo panalo rin ang inang naten pakisagot bhie maraming salamat pinoy ka naman di ba,"[0.043478260869565216, 0.6521739130434783, 0.30434782608695654]"
1463208943312781317,look whos on the side si hakdog di ba,"[0.3333333333333333, 0.2222222222222222, 0.4444444444444444]"
1463208817798172672,kahit dun sa soty na lang putrages nagbillboard pa kayo di ba parang tanga,"[0.07142857142857142, 0.5714285714285714, 0.35714285714285715]"
1463208582346776589,grabe normal lang naman kiligin di ba,"[0.0, 0.8571428571428571, 0.14285714285714285]"
1463208541125111810,oh di ba ikaw nga hshhahahahahaja,"[0.16666666666666666, 0.6666666666666666, 0.16666666666666666]"
1463208511978934272,di ba less gastos hahahahahaha may isa ako ngayong sisimulan but tingnan natin kung maganda bata uli ang bida hahahaha balitaan kita if maganda hahahahahaha,"[0.12, 0.68, 0.2]"
1463208210769141761,di ba pwedeng mabagal lang wifi at ayaw magload ng nf,"[0.0, 0.5454545454545454, 0.45454545454545453]"
1463208106247163905,baka hindi dito na fubu au yon luh ate sorry owemji nakakahiya xd luh di ba talaga dito yon hahaha it s okaay,"[0.21739130434782608, 0.391304347826087, 0.391304347826087]"
1463207990421454851,mellow touch istasyon ng mga motel di ba puro love songs,"[0.36363636363636365, 0.5454545454545454, 0.09090909090909091]"
1463207985518301188,baka alam mo kung saan itinago nakinabang din pamilya nyo sa pamilya ng magnanakaw di ba,"[0.0, 0.8125, 0.1875]"
1463207906698948613,di ba,"[0.0, 1.0, 0.0]"
1463207793016520706,onga taka din ako ehh di ba nila kaya ipagkasya yun icocompress lang naman ang vid eh gigil grr,"[0.05263157894736842, 0.5263157894736842, 0.42105263157894735]"
1463207782107136002,mema kayo recordingacad di ba kayo lab ng mama niyo,"[0.1, 0.4, 0.5]"
1463206941115641863,deen what if hindi tayo classmates next yr so anong so di ba sad yon baka ipagpalit mo ko sa classmate huh bat ko naman gagawin yon ewan ko sayo di q gagawin yon,"[0.4117647058823529, 0.4117647058823529, 0.14705882352941177]"
1463206696009011208,kaayo gyud dzai sugnod kaayos brenda di ba ana sya pafall daw si e kalagot lang ngano sad maminaw sa mga marites,"[0.09090909090909091, 0.45454545454545453, 0.45454545454545453]"
1463206339908235268,beli di ba mana kak wording nya kbl keren banget lhoo,"[0.09090909090909091, 0.36363636363636365, 0.5454545454545454]"
1463205928434470914,see kasalanan nyo yan di ba dapat yung may issue kinausap nyo hindi yung by group ayan hindi naman sila yung issue dadagdagan nyo pa ano to for the views money,"[0.3225806451612903, 0.5161290322580645, 0.12903225806451613]"
1463205708892041219,di ba so anong merit nung pa speech nila at the start kaka init ng dugo,"[0.25, 0.5, 0.25]"
1463205658682032132,di ba milagro na manalo but evermore deserves periodttt,"[0.3333333333333333, 0.5555555555555556, 0.1111111111111111]"
1463205525974175749,di ba nila nadeserve,"[0.0, 0.75, 0.25]"
1463205471641243648,ano pa bang bago di ba hmmp,"[0.14285714285714285, 0.42857142857142855, 0.2857142857142857]"
1463205353303142406,sino ba naman ako para magkaron ng maayos na buhay di ba xd,"[0.0, 0.7692307692307693, 0.23076923076923078]"
1463205300857573379,di ba sila naaawa kay anji grabe yung iyak niya lalo na yung last part bago mag end yung stream natatakot siya sa sasabihin ng iba about sa kanya yung kinakatakutan niya mismong sa bahay niya nararanasan,"[0.16216216216216217, 0.7297297297297297, 0.10810810810810811]"
1463205237200547841,sino nagsabi sainyo na i snobin yung willow haaaa di ba kayo nagandahan sa life was a wiilow and it bent right to your wind haaaa haaaa,"[0.4444444444444444, 0.3333333333333333, 0.2222222222222222]"
1463205228824576003,tangina niyo di ba kayo mag rereply,"[0.14285714285714285, 0.2857142857142857, 0.5714285714285714]"
1463205069596160002,badtrip padin umasa ako sa music video tapos dun sa last 3 categories wala pa sila ano yun out of 7 isa lang di ba sila marunong tumingin mga takot lang ksi eh hays,"[0.3235294117647059, 0.5294117647058824, 0.11764705882352941]"
1463205062088347648,bakit puro kayo wtf di ba pwedeng wth naman,"[0.0, 0.5555555555555556, 0.4444444444444444]"
1463204898053378051,butter wala sa song of the year di ba kayo informed kung anong achievements ng butter gagi nood nood ng news at magcheck sa twitter mga hangal,"[0.37037037037037035, 0.48148148148148145, 0.14814814814814814]"
1463204895381544962,gago di nominated ang butter sa soty di ba kayo aware sa bb hot 100 di rin nominated txt sa best new artist di ba kayo aware sa bb world albums tangina mo grammy,"[0.29411764705882354, 0.3235294117647059, 0.3235294117647059]"
1463204794865274887,di ba,"[0.0, 1.0, 0.0]"
1463204716234813440,sabi na may kapalit pag sobrang saya okay na okay na cla di ba nila nakikita yun yun na ang iniiyakan ni anji eh yung hindi nila maintindihan yung samahan ng kyji hndi ma nya alam papano kikilos saan lulugar pls help huhu may date pa cla eh,"[0.125, 0.5416666666666666, 0.3333333333333333]"
1463204385979207681,tangina bat di ba ko natuto leche,"[0.0, 0.5714285714285714, 0.42857142857142855]"
1463204326726266880,tangina talaga akduejhsjwusjaja bobo ng grammys amputa di ba kayo maalam magside step right left to my beat,"[0.3333333333333333, 0.3888888888888889, 0.2777777777777778]"
1463204285852753920,like for sure kung nabasa ang hair no bed hair di ba,"[0.5833333333333334, 0.4166666666666667, 0.0]"
1463203691897319425,grey goose di ba chichirya yun,"[0.16666666666666666, 0.3333333333333333, 0.5]"
1463203456643383296,akala mo di masakit sakit sakin yung pinag sasabi mo saken na patay gutom ako bakit di ba yun sa masakit ikaw nga inuulam mo kalapati eh sabi nya tara ruella hulihin natin yung kalapati kuhain natin oh siya yun siya yung pag sabihan mo,"[0.044444444444444446, 0.6444444444444445, 0.28888888888888886]"
1463203424359444480,di ba ung iba pinapakita,"[0.0, 0.8, 0.2]"
1463202741992374272,luh di ba awkward hindi hahaha makalat din ako irl eh why do you think i m here hahaha,"[0.42105263157894735, 0.2631578947368421, 0.3157894736842105]"
1463202631992578050,bakit may rawr di ba pusa ka,"[0.0, 0.7142857142857143, 0.2857142857142857]"
1463202389322698752,oh di ba i think tama ako,"[0.42857142857142855, 0.5714285714285714, 0.0]"
1463202308011950083,okay sino ba naman ako para pansinin di ba,"[0.1111111111111111, 0.7777777777777778, 0.1111111111111111]"
1463202163883085824,kung di ba naman ako gaga at nilalabanan ko pa antok ko,"[0.0, 0.6666666666666666, 0.3333333333333333]"
1463202017510232064,di ba naman sumama loob mo pota kayo grammys,"[0.0, 0.5555555555555556, 0.4444444444444444]"
1463201979505655810,ay hope all may poging jowang gigising sayo tuwing umaga di ba,"[0.16666666666666666, 0.4166666666666667, 0.4166666666666667]"
1463201897913864198,anuena grammys apakatagal refresh ako nang refresh di ba pwedeng isahang announce nalang,"[0.23076923076923078, 0.38461538461538464, 0.38461538461538464]"
1463201613426794499,tangina di ba nila gets ung mssg ng ptd hindi na toh kaya ng pasensya ko,"[0.0625, 0.625, 0.3125]"
1463201588546183170,si owen yon be di ba ganda ng name bagay kayo ehe pangalan yan ng forever mo sage,"[0.2777777777777778, 0.4444444444444444, 0.2777777777777778]"
1463201570019950595,biggest slap to that industry plant lol di ba kinaya buhatin,"[0.5454545454545454, 0.2727272727272727, 0.18181818181818182]"
1463201543872679940,bakit mo naman kasi gusto magpasakal di ba kasal ayaw mo j,"[0.08333333333333333, 0.6666666666666666, 0.25]"
1463201382983352321,di ba dapat ley miserab pronunciation don,"[0.14285714285714285, 0.5714285714285714, 0.2857142857142857]"
1463201004682240001,di ba prank yun,"[0.25, 0.5, 0.25]"
1463200896272113666,o di ba scam talaga haha tapos ko na,"[0.1111111111111111, 0.6666666666666666, 0.2222222222222222]"
1463200465613697029,este pa s este pa s,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
1463200149551734792,di ba kasalanan pa rin ni hotdog to kaya nasisira ang mga hms,"[0.07692307692307693, 0.6153846153846154, 0.3076923076923077]"
1463199944966164484,di ba to sunod sunod ponyeta,"[0.16666666666666666, 0.6666666666666666, 0.16666666666666666]"
1463199458737278976,malapit lang sa inyo ang ususan di ba nandyan na yung address tanong mo don,"[0.06666666666666667, 0.6666666666666666, 0.26666666666666666]"
1463199374066913281,di ba nga lol,"[0.0, 0.75, 0.25]"
1463199018540941314,di ba pede soda hahaha,"[0.0, 0.4, 0.6]"
1463197917737467905,tamlay nyo naman di ba kayo kumain,"[0.0, 0.8571428571428571, 0.14285714285714285]"
1463197631606231040,di ba dapat sept 28 hahaha,"[0.0, 0.5, 0.5]"
1463197490136506369,bakit sa tuwing may sasabihin ako na nasa isip ko naka defense mode ka palagi di ba pwedeng sinasabi ko lang nasa isip ko kasi sasabog na ako kung wala akong mapag sasabihan,"[0.06060606060606061, 0.7878787878787878, 0.15151515151515152]"
1463197372591181834,lasing na ba ang lahat sana sabay sabay tayo di ba,"[0.0, 0.9090909090909091, 0.09090909090909091]"
1463197299639685122,am i missing something di ba dapat ganto cause ill set my standards high if ill dream of something gugustuhin ko yung mga katulad sa tiktok sa mga wp stories,"[0.5, 0.4, 0.1]"
1463197291150331912,gago sa tahimik don sa studio pati pag lakad nung girl rinig nyawa di ba kayo inaantok gan gagu,"[0.10526315789473684, 0.5789473684210527, 0.3157894736842105]"
1463197164708921344,di ba nagkape tong mga announcer,"[0.16666666666666666, 0.6666666666666666, 0.16666666666666666]"
1463197019527614465,kukulit naman kase di ba makaramdam na ayaw sa inyo mag open nung bata,"[0.14285714285714285, 0.7857142857142857, 0.07142857142857142]"
1463196857786519557,pagod na ko pagod na utakq di ba pwedeng mag pahinga kahit isang linggo lang,"[0.06666666666666667, 0.8, 0.13333333333333333]"
1463196569470377984,di ba pwedeng i fast forward to,"[0.5714285714285714, 0.2857142857142857, 0.14285714285714285]"
1463196561974775811,di ba nagsubmit b3n amp b3n sa best folk album,"[0.3, 0.3, 0.4]"
1463196546703532033,ho letto su ig la storia di una bambina che vagando per le strade di istanbul per andare a trovare qualcuno va a finire a casa di ba e trova davanti la porta g e fa un selfie con lei il culo di questa bambina davvero ha scoperto la tanaaaa,"[0.26, 0.14, 0.54]"
1463196440738484232,nag almusal naman siguro kayo di ba,"[0.14285714285714285, 0.7142857142857143, 0.14285714285714285]"
1463196230779949064,alam mo nababaliw na ako rito same tayo sa xiaojun at mark pero magko commit ako sa sungchan at chenle hhahhahahah,"[0.14285714285714285, 0.47619047619047616, 0.38095238095238093]"
1463196218071269376,baket ginigatekeep ng utak ko kung pano gumagana ung katawan ko like bro di ba ikaw ng boss jan ikaw taga control ng lahat bat d m sabihin sakin para mataas grade q s bio this qrtr,"[0.2972972972972973, 0.4594594594594595, 0.24324324324324326]"
1463196113976979458,di ba pedeng best americana album be agad hahahaha antok na ko,"[0.16666666666666666, 0.5, 0.3333333333333333]"
1463196074613436417,sana lahat ganito kabilis mag announce di ba,"[0.25, 0.75, 0.0]"
1463196029449211904,hoy jusq ang boring di ba uso pa background music dyan,"[0.2727272727272727, 0.36363636363636365, 0.36363636363636365]"
1463195943054954498,dear ra i think u need to include best kpop album now more inclusions di ba,"[0.6875, 0.125, 0.1875]"
1463195892723625984,bakit naman ang lungkot lungkot nila mag announce di ba sila happy sa bohai nila,"[0.2, 0.7333333333333333, 0.06666666666666667]"
1463195757973229568,bts hello di ba kayo mag la live jan,"[0.3333333333333333, 0.2222222222222222, 0.4444444444444444]"
1463195719813066753,huhu tbh this put all the blame to kd with the friendship that is happening di ba mutual yun so hms are now suggesting na tablahin totally ni anji si kd di ko talaga maintindihan why they are blaming kd,"[0.55, 0.175, 0.25]"
1463195622450683910,grabe mga post ng mga schoolmates ko dati di ba kayo nahihiya sa akin charot hahahahahaha,"[0.0625, 0.5625, 0.375]"
1463195459917287429,sa best childs album di ba sali ang hey tayo at bilie poco dyan,"[0.14285714285714285, 0.35714285714285715, 0.5]"
1463195251712020484,stfu may pasok ka di ba,"[0.0, 0.6666666666666666, 0.3333333333333333]"
1463194636852228096,di ba nagulat ako biglang lumiit eh potek pwede pala,"[0.1, 0.7, 0.2]"
1463194544342659080,oh di ba marunong na akong gumamit ng nang at ng hehe edi wow,"[0.14285714285714285, 0.5714285714285714, 0.2857142857142857]"
1463194372288413697,ang laki siguro problema ng mga to bakit walang sigla di ba kayo masaya sa mga nominated,"[0.11764705882352941, 0.8235294117647058, 0.058823529411764705]"
1463194135087939584,huy di ba talaga uso bg music sa kanila parang last year meron naman,"[0.21428571428571427, 0.5714285714285714, 0.21428571428571427]"
1463193931647111169,tuloy tuloy di ba siya natutuyuan ng lalamunan,"[0.0, 0.875, 0.125]"
1463193795017658370,lal yg pernah beli layout di ba,"[0.14285714285714285, 0.2857142857142857, 0.5714285714285714]"
1463193592101437441,sino nagpauso ng references di ba pwedeng icite ko a lang sarili ko stock knowlegde 2021 ganon,"[0.17647058823529413, 0.5294117647058824, 0.29411764705882354]"
1463193480298074114,abi nakog forever na mi ani akong samsung ahak di ba petty if ipaayo lang nako charger port ani ahhahahhah,"[0.3, 0.35, 0.35]"
1463193317122842629,di ba crazy ka hahahahahahahahha,"[0.2, 0.6, 0.2]"
1463193143977725954,rold uu masama akong tao pero deserve ko naman to di ba if my clients deserved it then ako siyempre xd,"[0.38095238095238093, 0.42857142857142855, 0.19047619047619047]"
1463193094753374210,bat for a while di ba pwedeng forever nalang,"[0.4444444444444444, 0.3333333333333333, 0.2222222222222222]"
1463192987601567746,ano na mga di ba kumain to walang energy,"[0.2222222222222222, 0.6666666666666666, 0.0]"
1463192880583823360,kingina di ba masaya buhay ng mga to tabi nyo na ako na jan,"[0.07142857142857142, 0.7857142857142857, 0.14285714285714285]"
1463192833356189704,hu che cha sra paisy e nu di ba wai harame e gatli di,"[0.21428571428571427, 0.21428571428571427, 0.5714285714285714]"
