id,split
1463226783789027329,"(0.8181818181818182, 0.0, 0.18181818181818182)"
1463226423032774656,"(0.17647058823529413, 0.23529411764705882, 0.5882352941176471)"
1463226046950502403,"(0.07692307692307693, 0.7435897435897436, 0.15384615384615385)"
1463225480920764420,"(0.3448275862068966, 0.4482758620689655, 0.20689655172413793)"
1463225272698736643,"(0.2564102564102564, 0.48717948717948717, 0.23076923076923078)"
1463225168378007554,"(0.0625, 0.75, 0.1875)"
1463224556814958595,"(0.0, 0.7222222222222222, 0.2777777777777778)"
1463223626317004801,"(0.2857142857142857, 0.42857142857142855, 0.23809523809523808)"
1463223462466441219,"(1.0, 0.0, 0.0)"
1463223386012717061,"(0.022222222222222223, 0.7555555555555555, 0.2222222222222222)"
1463223004863746051,"(0.025, 0.8, 0.175)"
1463222735451000834,"(0.17647058823529413, 0.47058823529411764, 0.29411764705882354)"
1463222606996201478,"(0.8, 0.0, 0.2)"
1463222507641585671,"(0.0, 0.625, 0.375)"
1463222354406875137,"(0.07142857142857142, 0.7142857142857143, 0.21428571428571427)"
1463222298412937216,"(0.7142857142857143, 0.0, 0.2857142857142857)"
1463221980333674497,"(0.0, 0.7435897435897436, 0.23076923076923078)"
1463220968743399424,"(0.27906976744186046, 0.37209302325581395, 0.32558139534883723)"
1463220826505760769,"(0.16666666666666666, 0.5, 0.3333333333333333)"
1463220493037842433,"(0.8, 0.0, 0.2)"
1463220414298001408,"(0.0, 0.2222222222222222, 0.7777777777777778)"
1463220262737006607,"(0.9629629629629629, 0.0, 0.037037037037037035)"
1463219998415998979,"(0.0, 0.7777777777777778, 0.2222222222222222)"
1463219913791664128,"(0.4375, 0.25, 0.3125)"
1463219451252207618,"(0.2727272727272727, 0.5454545454545454, 0.18181818181818182)"
1463219406322896896,"(0.0, 0.6666666666666666, 0.3333333333333333)"
1463219378103537664,"(0.0, 0.8, 0.2)"
1463219018165219330,"(0.09090909090909091, 0.7272727272727273, 0.18181818181818182)"
1463218449308524544,"(0.2857142857142857, 0.5238095238095238, 0.19047619047619047)"
1463217238740127745,"(0.0, 1.0, 0.0)"
1463217197879226369,"(0.16666666666666666, 0.6333333333333333, 0.2)"
1463216813123072001,"(0.2, 0.8, 0.0)"
1463216003253366786,"(0.5714285714285714, 0.2619047619047619, 0.16666666666666666)"
1463215830712270857,"(0.14814814814814814, 0.48148148148148145, 0.37037037037037035)"
1463215414154989571,"(0.25, 0.5625, 0.1875)"
1463214900570853379,"(0.28, 0.48, 0.24)"
1463214783109681157,"(0.3148148148148148, 0.3888888888888889, 0.2962962962962963)"
1463214664372813827,"(0.2, 0.6, 0.06666666666666667)"
1463214225573441536,"(0.14285714285714285, 0.5714285714285714, 0.2857142857142857)"
1463214159156289539,"(0.7346938775510204, 0.20408163265306123, 0.061224489795918366)"
1463214132258213888,"(0.5217391304347826, 0.41304347826086957, 0.043478260869565216)"
1463214121860538368,"(0.375, 0.4375, 0.1875)"
1463212541887143943,"(0.16666666666666666, 0.6666666666666666, 0.16666666666666666)"
1463212250131353604,"(0.2222222222222222, 0.3333333333333333, 0.4444444444444444)"
1463212091821551616,"(0.0, 0.875, 0.125)"
1463211885474435077,"(0.0, 0.7142857142857143, 0.2857142857142857)"
1463211576333275141,"(0.25, 0.5625, 0.1875)"
1463211331637571587,"(0.18181818181818182, 0.45454545454545453, 0.36363636363636365)"
1463210810558144516,"(0.2727272727272727, 0.45454545454545453, 0.2727272727272727)"
1463210336484352001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)"
1463210087099502592,"(0.07142857142857142, 0.5714285714285714, 0.35714285714285715)"
1463209954093924353,"(0.0, 0.75, 0.25)"
1463209493752283138,"(0.0, 0.8571428571428571, 0.14285714285714285)"
1463209246569291777,"(0.30434782608695654, 0.34782608695652173, 0.34782608695652173)"
1463208979832578057,"(0.043478260869565216, 0.6521739130434783, 0.30434782608695654)"
1463208943312781317,"(0.3333333333333333, 0.2222222222222222, 0.4444444444444444)"
1463208817798172672,"(0.07142857142857142, 0.5714285714285714, 0.35714285714285715)"
1463208582346776589,"(0.0, 0.8571428571428571, 0.14285714285714285)"
1463208541125111810,"(0.16666666666666666, 0.6666666666666666, 0.16666666666666666)"
1463208511978934272,"(0.12, 0.68, 0.2)"
1463208210769141761,"(0.0, 0.5454545454545454, 0.45454545454545453)"
1463208106247163905,"(0.21739130434782608, 0.391304347826087, 0.391304347826087)"
1463207990421454851,"(0.36363636363636365, 0.5454545454545454, 0.09090909090909091)"
1463207985518301188,"(0.0, 0.8125, 0.1875)"
1463207906698948613,"(0.0, 1.0, 0.0)"
1463207793016520706,"(0.05263157894736842, 0.5263157894736842, 0.42105263157894735)"
1463207782107136002,"(0.1, 0.4, 0.5)"
1463206941115641863,"(0.4117647058823529, 0.4117647058823529, 0.14705882352941177)"
1463206696009011208,"(0.09090909090909091, 0.45454545454545453, 0.45454545454545453)"
1463206339908235268,"(0.09090909090909091, 0.36363636363636365, 0.5454545454545454)"
1463205928434470914,"(0.3225806451612903, 0.5161290322580645, 0.12903225806451613)"
1463205708892041219,"(0.25, 0.5, 0.25)"
1463205658682032132,"(0.3333333333333333, 0.5555555555555556, 0.1111111111111111)"
1463205525974175749,"(0.0, 0.75, 0.25)"
1463205471641243648,"(0.14285714285714285, 0.42857142857142855, 0.2857142857142857)"
1463205353303142406,"(0.0, 0.7692307692307693, 0.23076923076923078)"
1463205300857573379,"(0.16216216216216217, 0.7297297297297297, 0.10810810810810811)"
1463205237200547841,"(0.4444444444444444, 0.3333333333333333, 0.2222222222222222)"
1463205228824576003,"(0.14285714285714285, 0.2857142857142857, 0.5714285714285714)"
1463205069596160002,"(0.3235294117647059, 0.5294117647058824, 0.11764705882352941)"
1463205062088347648,"(0.0, 0.5555555555555556, 0.4444444444444444)"
1463204898053378051,"(0.37037037037037035, 0.48148148148148145, 0.14814814814814814)"
1463204895381544962,"(0.29411764705882354, 0.3235294117647059, 0.3235294117647059)"
1463204794865274887,"(0.0, 1.0, 0.0)"
1463204716234813440,"(0.125, 0.5416666666666666, 0.3333333333333333)"
1463204385979207681,"(0.0, 0.5714285714285714, 0.42857142857142855)"
1463204326726266880,"(0.3333333333333333, 0.3888888888888889, 0.2777777777777778)"
1463204285852753920,"(0.5833333333333334, 0.4166666666666667, 0.0)"
1463203691897319425,"(0.16666666666666666, 0.3333333333333333, 0.5)"
1463203456643383296,"(0.044444444444444446, 0.6444444444444445, 0.28888888888888886)"
1463203424359444480,"(0.0, 0.8, 0.2)"
1463202741992374272,"(0.42105263157894735, 0.2631578947368421, 0.3157894736842105)"
1463202631992578050,"(0.0, 0.7142857142857143, 0.2857142857142857)"
1463202389322698752,"(0.42857142857142855, 0.5714285714285714, 0.0)"
1463202308011950083,"(0.1111111111111111, 0.7777777777777778, 0.1111111111111111)"
1463202163883085824,"(0.0, 0.6666666666666666, 0.3333333333333333)"
1463202017510232064,"(0.0, 0.5555555555555556, 0.4444444444444444)"
1463201979505655810,"(0.16666666666666666, 0.4166666666666667, 0.4166666666666667)"
1463201897913864198,"(0.23076923076923078, 0.38461538461538464, 0.38461538461538464)"
1463201613426794499,"(0.0625, 0.625, 0.3125)"
1463201588546183170,"(0.2777777777777778, 0.4444444444444444, 0.2777777777777778)"
1463201570019950595,"(0.5454545454545454, 0.2727272727272727, 0.18181818181818182)"
1463201543872679940,"(0.08333333333333333, 0.6666666666666666, 0.25)"
1463201382983352321,"(0.14285714285714285, 0.5714285714285714, 0.2857142857142857)"
1463201004682240001,"(0.25, 0.5, 0.25)"
1463200896272113666,"(0.1111111111111111, 0.6666666666666666, 0.2222222222222222)"
1463200465613697029,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)"
1463200149551734792,"(0.07692307692307693, 0.6153846153846154, 0.3076923076923077)"
1463199944966164484,"(0.16666666666666666, 0.6666666666666666, 0.16666666666666666)"
1463199458737278976,"(0.06666666666666667, 0.6666666666666666, 0.26666666666666666)"
1463199374066913281,"(0.0, 0.75, 0.25)"
1463199018540941314,"(0.0, 0.4, 0.6)"
1463197917737467905,"(0.0, 0.8571428571428571, 0.14285714285714285)"
1463197631606231040,"(0.0, 0.5, 0.5)"
1463197490136506369,"(0.06060606060606061, 0.7878787878787878, 0.15151515151515152)"
1463197372591181834,"(0.0, 0.9090909090909091, 0.09090909090909091)"
1463197299639685122,"(0.5, 0.4, 0.1)"
1463197291150331912,"(0.10526315789473684, 0.5789473684210527, 0.3157894736842105)"
1463197164708921344,"(0.16666666666666666, 0.6666666666666666, 0.16666666666666666)"
1463197019527614465,"(0.14285714285714285, 0.7857142857142857, 0.07142857142857142)"
1463196857786519557,"(0.06666666666666667, 0.8, 0.13333333333333333)"
1463196569470377984,"(0.5714285714285714, 0.2857142857142857, 0.14285714285714285)"
1463196561974775811,"(0.3, 0.3, 0.4)"
1463196546703532033,"(0.26, 0.14, 0.54)"
1463196440738484232,"(0.14285714285714285, 0.7142857142857143, 0.14285714285714285)"
1463196230779949064,"(0.14285714285714285, 0.47619047619047616, 0.38095238095238093)"
1463196218071269376,"(0.2972972972972973, 0.4594594594594595, 0.24324324324324326)"
1463196113976979458,"(0.16666666666666666, 0.5, 0.3333333333333333)"
1463196074613436417,"(0.25, 0.75, 0.0)"
1463196029449211904,"(0.2727272727272727, 0.36363636363636365, 0.36363636363636365)"
1463195943054954498,"(0.6875, 0.125, 0.1875)"
1463195892723625984,"(0.2, 0.7333333333333333, 0.06666666666666667)"
1463195757973229568,"(0.3333333333333333, 0.2222222222222222, 0.4444444444444444)"
1463195719813066753,"(0.55, 0.175, 0.25)"
1463195622450683910,"(0.0625, 0.5625, 0.375)"
1463195459917287429,"(0.14285714285714285, 0.35714285714285715, 0.5)"
1463195251712020484,"(0.0, 0.6666666666666666, 0.3333333333333333)"
1463194636852228096,"(0.1, 0.7, 0.2)"
1463194544342659080,"(0.14285714285714285, 0.5714285714285714, 0.2857142857142857)"
1463194372288413697,"(0.11764705882352941, 0.8235294117647058, 0.058823529411764705)"
1463194135087939584,"(0.21428571428571427, 0.5714285714285714, 0.21428571428571427)"
1463193931647111169,"(0.0, 0.875, 0.125)"
1463193795017658370,"(0.14285714285714285, 0.2857142857142857, 0.5714285714285714)"
1463193592101437441,"(0.17647058823529413, 0.5294117647058824, 0.29411764705882354)"
1463193480298074114,"(0.3, 0.35, 0.35)"
1463193317122842629,"(0.2, 0.6, 0.2)"
1463193143977725954,"(0.38095238095238093, 0.42857142857142855, 0.19047619047619047)"
1463193094753374210,"(0.4444444444444444, 0.3333333333333333, 0.2222222222222222)"
1463192987601567746,"(0.2222222222222222, 0.6666666666666666, 0.0)"
1463192880583823360,"(0.07142857142857142, 0.7857142857142857, 0.14285714285714285)"
1463192833356189704,"(0.21428571428571427, 0.21428571428571427, 0.5714285714285714)"
1463192784903368705,"(0.16666666666666666, 0.5833333333333334, 0.25)"
1463192727017844737,"(0.14634146341463414, 0.7073170731707317, 0.14634146341463414)"
1463192492849786881,"(0.0, 0.5, 0.5)"
1463192477351829506,"(0.0, 1.0, 0.0)"
1463192318324842498,"(0.2222222222222222, 0.7777777777777778, 0.0)"
1463192237370527748,"(0.5227272727272727, 0.2727272727272727, 0.18181818181818182)"
1463191808473665540,"(0.0, 0.8, 0.2)"
1463191351621656579,"(0.3333333333333333, 0.6666666666666666, 0.0)"
1463191323109105664,"(0.3125, 0.5625, 0.125)"
1463190974293626884,"(0.375, 0.40625, 0.21875)"
1463190846832975873,"(0.0, 0.5714285714285714, 0.2857142857142857)"
1463190775890595850,"(0.0, 0.375, 0.5)"
1463190627831599104,"(0.09523809523809523, 0.7619047619047619, 0.14285714285714285)"
1463189670926290949,"(0.0, 0.6363636363636364, 0.36363636363636365)"
1463189613028122634,"(0.14285714285714285, 0.7142857142857143, 0.14285714285714285)"
1463189596368302083,"(0.5, 0.375, 0.125)"
1463189591939158023,"(0.125, 0.75, 0.125)"
1463189331149869058,"(0.7857142857142857, 0.21428571428571427, 0.0)"
1463189293430542337,"(0.2692307692307692, 0.46153846153846156, 0.2692307692307692)"
1463188799517708290,"(0.2, 0.4, 0.4)"
1463188685617188864,"(0.2777777777777778, 0.5555555555555556, 0.14814814814814814)"
1463188679132733449,"(0.21052631578947367, 0.4473684210526316, 0.34210526315789475)"
1463188247526268928,"(0.20833333333333334, 0.375, 0.4166666666666667)"
1463187978365575169,"(0.5428571428571428, 0.4, 0.05714285714285714)"
1463187899034189831,"(0.3541666666666667, 0.3958333333333333, 0.22916666666666666)"
1463187775746822145,"(0.05555555555555555, 0.7777777777777778, 0.16666666666666666)"
1463187490265702400,"(0.07692307692307693, 0.6153846153846154, 0.3076923076923077)"
1463187423777615873,"(0.2, 0.5, 0.3)"
1463187240268726272,"(0.4838709677419355, 0.3870967741935484, 0.11290322580645161)"
1463187130763468805,"(0.325, 0.475, 0.2)"
1463187017655717892,"(0.3076923076923077, 0.6153846153846154, 0.07692307692307693)"
1463186934373568514,"(0.0, 1.0, 0.0)"
1463186157722763264,"(0.0, 0.6666666666666666, 0.3333333333333333)"
1463185722177773569,"(0.52, 0.32, 0.16)"
1463185555378696192,"(0.25, 0.3125, 0.4375)"
1463185415343525889,"(0.7272727272727273, 0.18181818181818182, 0.09090909090909091)"
1463185307700846592,"(0.0, 0.8571428571428571, 0.14285714285714285)"
1463185098552262656,"(0.14285714285714285, 0.35714285714285715, 0.5)"
1463185082110255104,"(0.14814814814814814, 0.7407407407407407, 0.1111111111111111)"
1463184996345155587,"(0.13333333333333333, 0.7333333333333333, 0.13333333333333333)"
1463184927864901644,"(0.8666666666666667, 0.0, 0.13333333333333333)"
1463184857043857411,"(0.0, 0.9, 0.1)"
1463184643813871626,"(0.3333333333333333, 0.6666666666666666, 0.0)"
1463184541833580547,"(0.23076923076923078, 0.5384615384615384, 0.23076923076923078)"
1463184365484224518,"(0.85, 0.0, 0.15)"
1463184314833588231,"(0.1875, 0.5625, 0.25)"
1463184049694937089,"(0.3170731707317073, 0.4878048780487805, 0.1951219512195122)"
1463183802348425216,"(0.0, 0.75, 0.25)"
1463183769427398664,"(0.2222222222222222, 0.6666666666666666, 0.1111111111111111)"
1463183373178863617,"(0.7407407407407407, 0.1111111111111111, 0.14814814814814814)"
1463183242857631745,"(0.34375, 0.46875, 0.1875)"
1463182688303550466,"(0.425, 0.4, 0.175)"
1463182613389053955,"(0.38461538461538464, 0.38461538461538464, 0.23076923076923078)"
1463182409638158340,"(0.25, 0.5, 0.25)"
1463182339198971907,"(0.15384615384615385, 0.5769230769230769, 0.2692307692307692)"
1463182269137371139,"(0.2, 0.4666666666666667, 0.3333333333333333)"
1463182262510313486,"(0.1111111111111111, 0.6666666666666666, 0.2222222222222222)"
1463182250158084099,"(0.2727272727272727, 0.5, 0.22727272727272727)"
1463182213747396612,"(0.0, 0.6666666666666666, 0.3333333333333333)"
1463182136396058624,"(0.7777777777777778, 0.2222222222222222, 0.0)"
1463181871018221579,"(0.29411764705882354, 0.5294117647058824, 0.17647058823529413)"
1463181471485673484,"(0.1875, 0.625, 0.1875)"
1463181457870897154,"(0.1111111111111111, 0.3333333333333333, 0.5555555555555556)"
1463181241977606146,"(0.4166666666666667, 0.3333333333333333, 0.20833333333333334)"
1463179870343630854,"(0.0, 0.8333333333333334, 0.16666666666666666)"
1463179580672397315,"(0.0, 1.0, 0.0)"
1463179474942398465,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)"
1463179093109706756,"(0.2, 0.8, 0.0)"
1463178839022919683,"(0.0, 0.3333333333333333, 0.6666666666666666)"
1463178747046088708,"(0.0, 1.0, 0.0)"
1463178597464621057,"(0.2413793103448276, 0.6896551724137931, 0.06896551724137931)"
1463177958965669891,"(0.42857142857142855, 0.42857142857142855, 0.14285714285714285)"
1463177933032345600,"(0.29411764705882354, 0.4117647058823529, 0.29411764705882354)"
1463177630035812355,"(0.16666666666666666, 0.4166666666666667, 0.4166666666666667)"
1463177574180286465,"(0.25925925925925924, 0.48148148148148145, 0.25925925925925924)"
1463177558841696257,"(0.2, 0.6, 0.1)"
1463177344412053505,"(0.2222222222222222, 0.2222222222222222, 0.5555555555555556)"
1463177249587347465,"(0.38636363636363635, 0.36363636363636365, 0.25)"
1463177208663584781,"(0.23529411764705882, 0.38235294117647056, 0.38235294117647056)"
1463177132318806019,"(0.17647058823529413, 0.4117647058823529, 0.4117647058823529)"
1463176991176212480,"(0.05, 0.75, 0.2)"
1463176922532175873,"(0.0, 1.0, 0.0)"
1463176858233544704,"(0.0, 0.6666666666666666, 0.3333333333333333)"
1463176839602520069,"(0.0784313725490196, 0.8431372549019608, 0.0784313725490196)"
1463176671222247425,"(0.4, 0.4, 0.2)"
1463176164365668352,"(0.10416666666666667, 0.6458333333333334, 0.22916666666666666)"
1463176104429113354,"(0.30952380952380953, 0.5476190476190477, 0.11904761904761904)"
1463175706884538369,"(0.2708333333333333, 0.5833333333333334, 0.14583333333333334)"
1463175657534410752,"(0.43478260869565216, 0.30434782608695654, 0.21739130434782608)"
1463175585816104967,"(0.21621621621621623, 0.5945945945945946, 0.1891891891891892)"
1463175479096225802,"(0.4, 0.6, 0.0)"
1463175267820658693,"(0.16666666666666666, 0.75, 0.08333333333333333)"
1463174845798170633,"(0.14285714285714285, 0.7857142857142857, 0.07142857142857142)"
1463174772548849664,"(0.15384615384615385, 0.6923076923076923, 0.15384615384615385)"
1463174733252468747,"(0.0, 0.8235294117647058, 0.17647058823529413)"
1463174561139154960,"(0.23076923076923078, 0.46153846153846156, 0.23076923076923078)"
1463174522761326602,"(0.1111111111111111, 0.3333333333333333, 0.5555555555555556)"
1463174441626746887,"(0.09302325581395349, 0.5813953488372093, 0.32558139534883723)"
1463174320688185353,"(0.19047619047619047, 0.5714285714285714, 0.23809523809523808)"
1463174162000891905,"(0.0, 0.75, 0.25)"
1463174147434065929,"(0.5555555555555556, 0.4444444444444444, 0.0)"
1463174140643393546,"(0.06666666666666667, 0.7333333333333333, 0.13333333333333333)"
1463173789823471619,"(0.0, 0.6666666666666666, 0.3333333333333333)"
1463173727898722312,"(0.0, 0.8333333333333334, 0.16666666666666666)"
1463173391712759826,"(0.0, 0.4, 0.6)"
1463173115396206601,"(0.1, 0.6, 0.3)"
1463173002267398149,"(0.11428571428571428, 0.3142857142857143, 0.5714285714285714)"
1463172965961502733,"(0.4166666666666667, 0.4166666666666667, 0.16666666666666666)"
1463172829021679638,"(0.1111111111111111, 0.5555555555555556, 0.3333333333333333)"
1463172762839789579,"(0.17647058823529413, 0.4117647058823529, 0.4117647058823529)"
1463172750609113103,"(0.375, 0.375, 0.25)"
1463172358638817281,"(0.16666666666666666, 0.6666666666666666, 0.16666666666666666)"
1463172074986512396,"(0.0, 0.8333333333333334, 0.16666666666666666)"
1463171736011161616,"(0.06666666666666667, 0.6666666666666666, 0.26666666666666666)"
1463171638313246729,"(0.16666666666666666, 0.6666666666666666, 0.16666666666666666)"
1463171522722414606,"(0.4074074074074074, 0.25925925925925924, 0.3333333333333333)"
1463171316408897545,"(0.34782608695652173, 0.43478260869565216, 0.21739130434782608)"
1463171276500090887,"(0.0, 0.6, 0.4)"
1463171275447226380,"(0.5135135135135135, 0.35135135135135137, 0.13513513513513514)"
1463171061260902419,"(0.14285714285714285, 0.42857142857142855, 0.42857142857142855)"
1463171023046684689,"(0.2857142857142857, 0.2857142857142857, 0.42857142857142855)"
1463170852606943254,"(0.16129032258064516, 0.6129032258064516, 0.22580645161290322)"
1463170798768775178,"(0.5, 0.375, 0.125)"
1463170748017786893,"(0.7333333333333333, 0.13333333333333333, 0.13333333333333333)"
1463170717609078810,"(0.4, 0.4, 0.2)"
1463170523362480132,"(0.1, 0.6, 0.3)"
1463170508875259909,"(0.5416666666666666, 0.2916666666666667, 0.16666666666666666)"
1463170382786187273,"(0.0, 0.46153846153846156, 0.5384615384615384)"
1463170089830825996,"(0.0, 0.5833333333333334, 0.4166666666666667)"
1463169943764099080,"(0.05555555555555555, 0.6111111111111112, 0.3333333333333333)"
1463169845688741897,"(0.125, 0.5, 0.375)"
1463169813942050831,"(0.23076923076923078, 0.6153846153846154, 0.15384615384615385)"
1463169679871119380,"(0.0, 0.6666666666666666, 0.3333333333333333)"
1463169415529254912,"(0.0, 0.75, 0.25)"
1463169368255352836,"(0.9019607843137255, 0.0392156862745098, 0.058823529411764705)"
1463169262265241601,"(0.3, 0.5, 0.2)"
1463168994454773770,"(0.0, 1.0, 0.0)"
1463168979925618694,"(0.3333333333333333, 0.5333333333333333, 0.13333333333333333)"
1463168882194227211,"(0.15384615384615385, 0.6923076923076923, 0.15384615384615385)"
1463168759762411536,"(0.15, 0.55, 0.3)"
1463168630825406468,"(0.25, 0.625, 0.125)"
1463168579801604101,"(0.0, 0.6666666666666666, 0.3333333333333333)"
1463168459148341255,"(0.6326530612244898, 0.20408163265306123, 0.16326530612244897)"
1463168396263104514,"(0.041666666666666664, 0.7083333333333334, 0.25)"
1463168290935693324,"(0.4444444444444444, 0.4444444444444444, 0.1111111111111111)"
1463168247658864652,"(0.125, 0.625, 0.25)"
1463168180961095686,"(0.16666666666666666, 0.3333333333333333, 0.5)"
1463167647441465358,"(0.08333333333333333, 0.5, 0.4166666666666667)"
1463167641711951896,"(0.125, 0.375, 0.5)"
1463167450095230987,"(0.09090909090909091, 0.7272727272727273, 0.18181818181818182)"
1463167341383012359,"(0.1875, 0.6875, 0.125)"
1463167186541944836,"(0.45, 0.35, 0.2)"
1463167181169045513,"(0.10638297872340426, 0.7446808510638298, 0.14893617021276595)"
1463166836065849360,"(0.7037037037037037, 0.1111111111111111, 0.18518518518518517)"
1463166677533798402,"(0.0, 0.8, 0.2)"
1463166558944047116,"(0.48, 0.4, 0.08)"
1463166520528457728,"(0.0, 1.0, 0.0)"
1463166397136130069,"(0.0, 0.5882352941176471, 0.4117647058823529)"
1463166248456441857,"(0.14705882352941177, 0.5294117647058824, 0.3235294117647059)"
1463166194551341064,"(0.9523809523809523, 0.0, 0.047619047619047616)"
1463165646833954822,"(0.1875, 0.5833333333333334, 0.22916666666666666)"
1463165615728910345,"(0.3, 0.6, 0.1)"
1463165424913293315,"(0.21428571428571427, 0.2857142857142857, 0.5)"
1463165424577753107,"(0.2222222222222222, 0.3333333333333333, 0.4444444444444444)"
1463165334698004483,"(0.0, 0.25, 0.75)"
1463165279517786112,"(0.2, 0.4, 0.4)"
1463165242729545742,"(0.5151515151515151, 0.36363636363636365, 0.12121212121212122)"
1463165126824050688,"(0.2222222222222222, 0.5555555555555556, 0.2222222222222222)"
1463165035954515970,"(0.07142857142857142, 0.5714285714285714, 0.2857142857142857)"
1463165020725026830,"(0.2, 0.7, 0.05)"
1463164967683866632,"(0.18181818181818182, 0.5454545454545454, 0.2727272727272727)"
1463164889392898070,"(0.23076923076923078, 0.46153846153846156, 0.3076923076923077)"
1463164527613288451,"(1.0, 0.0, 0.0)"
1463164500140564482,"(0.05555555555555555, 0.6666666666666666, 0.2222222222222222)"
1463164392158150677,"(0.3783783783783784, 0.3783783783783784, 0.21621621621621623)"
1463164322679599108,"(0.07692307692307693, 0.6923076923076923, 0.23076923076923078)"
1463164110535893001,"(0.0, 0.5555555555555556, 0.4444444444444444)"
1463164067598716934,"(0.9285714285714286, 0.0, 0.07142857142857142)"
1463163995909767175,"(0.2727272727272727, 0.36363636363636365, 0.36363636363636365)"
1463163974703370260,"(0.0, 0.2857142857142857, 0.7142857142857143)"
1463163924111577102,"(0.21212121212121213, 0.42424242424242425, 0.30303030303030304)"
1463163827692974099,"(0.0, 0.6666666666666666, 0.3333333333333333)"
1463163798320263172,"(0.8125, 0.0, 0.1875)"
1463163666094862354,"(0.16666666666666666, 0.5, 0.3333333333333333)"
1463163392898879489,"(0.9375, 0.0, 0.0625)"
1463163282135650309,"(0.0, 1.0, 0.0)"
1463163227152564243,"(0.0, 0.6363636363636364, 0.2727272727272727)"
1463162866966614036,"(0.2, 0.8, 0.0)"
1463162865322536960,"(0.0, 0.625, 0.375)"
1463162628931559434,"(0.07142857142857142, 0.42857142857142855, 0.35714285714285715)"
1463162487302414337,"(0.2, 0.3, 0.5)"
1463162449293627406,"(0.3333333333333333, 0.5, 0.16666666666666666)"
1463162406234902541,"(0.0, 0.875, 0.125)"
1463162394398670851,"(0.0, 0.75, 0.25)"
1463162339683975184,"(0.0, 0.8333333333333334, 0.16666666666666666)"
1463162044455268364,"(0.15384615384615385, 0.6923076923076923, 0.15384615384615385)"
1463161748249264140,"(0.0, 0.75, 0.25)"
1463161714095149080,"(0.13333333333333333, 0.6666666666666666, 0.2)"
1463161639096795146,"(0.16666666666666666, 0.5, 0.3333333333333333)"
1463161570138202129,"(0.6428571428571429, 0.23809523809523808, 0.09523809523809523)"
1463161535304544259,"(0.30434782608695654, 0.5652173913043478, 0.13043478260869565)"
1463161188787830786,"(0.25, 0.5208333333333334, 0.1875)"
1463161043329372169,"(0.0, 0.6923076923076923, 0.3076923076923077)"
1463160841113681929,"(0.375, 0.4375, 0.1875)"
1463160827448602639,"(0.0, 0.8, 0.2)"
1463160771186151446,"(0.125, 0.625, 0.25)"
1463160727519252488,"(0.08695652173913043, 0.6956521739130435, 0.21739130434782608)"
1463160524129116163,"(0.2, 0.4, 0.4)"
1463160482534244373,"(0.1111111111111111, 0.6666666666666666, 0.2222222222222222)"
1463160233010905099,"(0.12, 0.56, 0.32)"
1463159934980444167,"(0.16666666666666666, 0.6666666666666666, 0.16666666666666666)"
